,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,12.4,84,100,2.05,ZA,1717732087
1,remire-montjoly,4.9167,-52.2667,26.02,100,0,0.0,GF,1717731990
2,isafjordur,66.0755,-23.124,1.2,94,98,8.53,IS,1717732087
3,ancud,-41.8697,-73.8203,10.71,91,82,4.42,CL,1717732087
4,puerto natales,-51.7236,-72.4875,-0.73,96,98,1.08,CL,1717732087
5,hadibu,12.65,54.0333,29.51,73,36,5.74,YE,1717732087
6,edinburgh of the seven seas,-37.0676,-12.3116,15.23,89,38,12.08,SH,1717732088
7,oskaloosa,41.2964,-92.6444,20.18,48,0,4.12,US,1717732088
8,pisco,-13.7,-76.2167,17.03,88,100,2.06,PE,1717732088
9,stanley,54.868,-1.6985,7.01,84,0,6.69,GB,1717732088
10,grytviken,-54.2811,-36.5092,-0.43,89,60,6.59,GS,1717732088
11,blackmans bay,-43.0167,147.3167,12.07,74,72,0.89,AU,1717732088
12,waitangi,-43.9535,-176.5597,9.34,84,10,4.47,NZ,1717732088
13,thompson,55.7435,-97.8558,4.09,93,75,2.57,CA,1717732089
14,albany,42.6001,-73.9662,18.15,94,22,1.66,US,1717732089
15,warrnambool,-38.3833,142.4833,14.89,71,10,4.12,AU,1717732089
16,alice springs,-23.7,133.8833,15.98,36,0,5.85,AU,1717732089
17,new norfolk,-42.7826,147.0587,12.73,66,65,0.67,AU,1717732089
18,kununurra,-15.7667,128.7333,23.63,24,0,7.59,AU,1717732089
19,doschatoye,55.3825,42.1072,17.96,84,30,2.53,RU,1717732089
20,adamstown,-25.066,-130.1015,22.7,76,100,5.93,PN,1717732089
21,ust'-kut,56.7938,105.7672,17.31,27,32,2.56,RU,1717732090
22,keflavik,64.0049,-22.5624,6.24,70,75,10.8,IS,1717732090
23,port-aux-francais,-49.35,70.2167,4.89,81,77,4.76,TF,1717732090
24,uturoa,-16.7333,-151.4333,27.2,76,85,0.94,PF,1717732090
25,cu chi,10.9667,106.4667,33.01,49,100,2.46,VN,1717732090
26,yellowknife,62.456,-114.3525,8.29,76,100,6.69,CA,1717732090
